Date,Open,High,Low,Close,Adj Close,Volume
2020-01-14,0.190000,0.200000,0.190000,0.200000,0.200000,213400
2020-01-15,0.190000,0.200000,0.190000,0.190000,0.190000,315800
2020-01-16,0.190000,0.210000,0.190000,0.200000,0.200000,207700
2020-01-17,0.210000,0.240000,0.200000,0.230000,0.230000,739000
2020-01-21,0.230000,0.250000,0.200000,0.250000,0.250000,2035200
2020-01-22,0.240000,0.270000,0.240000,0.250000,0.250000,512500
2020-01-23,0.270000,0.270000,0.250000,0.260000,0.260000,157100
2020-01-24,0.260000,0.270000,0.250000,0.250000,0.250000,186500
2020-01-27,0.250000,0.370000,0.250000,0.360000,0.360000,2109000
2020-01-28,0.360000,0.410000,0.360000,0.370000,0.370000,1487300
2020-01-29,0.380000,0.390000,0.300000,0.330000,0.330000,1399100
2020-01-30,0.330000,0.330000,0.300000,0.310000,0.310000,302600
2020-01-31,0.310000,0.330000,0.300000,0.310000,0.310000,129400
2020-02-03,0.300000,0.310000,0.290000,0.290000,0.290000,223900
2020-02-04,0.280000,0.300000,0.280000,0.300000,0.300000,186900
2020-02-05,0.300000,0.310000,0.280000,0.290000,0.290000,134100
2020-02-06,0.280000,0.300000,0.280000,0.290000,0.290000,60700
2020-02-07,0.290000,0.300000,0.280000,0.280000,0.280000,93100
2020-02-10,0.280000,0.290000,0.280000,0.290000,0.290000,100300
2020-02-11,0.280000,0.290000,0.280000,0.280000,0.280000,158100
2020-02-12,0.280000,0.280000,0.270000,0.280000,0.280000,144400
2020-02-13,0.280000,0.280000,0.270000,0.270000,0.270000,79500
2020-02-14,0.280000,0.280000,0.270000,0.280000,0.280000,96300
2020-02-18,0.280000,0.280000,0.270000,0.280000,0.280000,171800
2020-02-19,0.270000,0.280000,0.260000,0.260000,0.260000,115900
2020-02-20,0.270000,0.280000,0.260000,0.270000,0.270000,200600
2020-02-21,0.280000,0.280000,0.270000,0.270000,0.270000,58900
2020-02-24,0.260000,0.280000,0.240000,0.240000,0.240000,443700
2020-02-25,0.250000,0.270000,0.240000,0.250000,0.250000,225300
2020-02-26,0.250000,0.250000,0.240000,0.250000,0.250000,136700
2020-02-27,0.240000,0.250000,0.230000,0.240000,0.240000,281200
2020-02-28,0.210000,0.240000,0.190000,0.200000,0.200000,156600
2020-03-02,0.210000,0.210000,0.190000,0.210000,0.210000,325100
2020-03-03,0.200000,0.230000,0.200000,0.210000,0.210000,218600
2020-03-04,0.220000,0.220000,0.200000,0.200000,0.200000,131600
2020-03-05,0.200000,0.220000,0.200000,0.200000,0.200000,121600
2020-03-06,0.200000,0.230000,0.200000,0.200000,0.200000,128300
2020-03-09,0.200000,0.220000,0.190000,0.190000,0.190000,425900
2020-03-10,0.200000,0.200000,0.180000,0.180000,0.180000,296100
2020-03-11,0.180000,0.190000,0.160000,0.170000,0.170000,252200
2020-03-12,0.160000,0.180000,0.160000,0.160000,0.160000,501100
2020-03-13,0.160000,0.200000,0.150000,0.160000,0.160000,402800
2020-03-16,0.160000,0.180000,0.150000,0.160000,0.160000,179600
2020-03-17,0.150000,0.180000,0.150000,0.160000,0.160000,121800
2020-03-18,0.140000,0.170000,0.120000,0.150000,0.150000,563500
2020-03-19,0.140000,0.150000,0.130000,0.140000,0.140000,231200
2020-03-20,0.140000,0.150000,0.130000,0.140000,0.140000,202300
2020-03-23,0.140000,0.150000,0.130000,0.140000,0.140000,118500
2020-03-24,0.130000,0.170000,0.130000,0.160000,0.160000,242800
2020-03-25,0.150000,0.170000,0.140000,0.160000,0.160000,468500
2020-03-26,0.140000,0.170000,0.140000,0.140000,0.140000,181000
2020-03-27,0.140000,0.150000,0.140000,0.140000,0.140000,348400
2020-03-30,0.140000,0.140000,0.140000,0.140000,0.140000,162500
2020-03-31,0.130000,0.140000,0.120000,0.140000,0.140000,224600
2020-04-01,0.140000,0.140000,0.130000,0.130000,0.130000,208200
2020-04-02,0.130000,0.160000,0.120000,0.130000,0.130000,424000
2020-04-03,0.130000,0.140000,0.120000,0.130000,0.130000,85600
2020-04-06,0.130000,0.130000,0.130000,0.130000,0.130000,238900
2020-04-07,0.130000,0.130000,0.120000,0.130000,0.130000,101800
2020-04-08,0.120000,0.130000,0.120000,0.130000,0.130000,110500
2020-04-09,0.130000,0.150000,0.130000,0.140000,0.140000,327500
2020-04-13,0.150000,0.150000,0.130000,0.140000,0.140000,109200
2020-04-14,0.130000,0.150000,0.130000,0.140000,0.140000,95100
2020-04-15,0.150000,0.150000,0.130000,0.140000,0.140000,90200
2020-04-16,0.150000,0.150000,0.130000,0.140000,0.140000,52300
2020-04-17,0.150000,0.150000,0.130000,0.140000,0.140000,135500
2020-04-20,0.130000,0.150000,0.130000,0.140000,0.140000,256600
2020-04-21,0.130000,0.150000,0.130000,0.140000,0.140000,238900
2020-04-22,0.130000,0.140000,0.130000,0.130000,0.130000,334100
2020-04-23,0.130000,0.140000,0.130000,0.140000,0.140000,274500
2020-04-24,0.130000,0.140000,0.130000,0.140000,0.140000,109600
